,title,img_url,date,rating,score,description
170,Don't Worry Darling,https://static.metacritic.com/images/products/movies/2/181c6e0a4982783f589a3a6bf7c9f53f-98.jpg,"September 23, 2022 ", R,tbd,A 1950's housewife living with her husband in a utopian experimental community begins to worry that his glamorous company may be hiding disturbing secrets.
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,Devotion,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"October 14, 2022 ", PG-13,tbd,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.
183,,,,,,
184,White Bird: A Wonder Story,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"October 14, 2022 ", Not Rated,tbd,A young Jewish girl hidden away by a boy and his family in Nazi-occupied France during World War II.
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,The Devil's Light,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"October 28, 2022 ", PG-13,tbd,A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,Thirteen Lives,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"November 18, 2022 ", PG-13,tbd,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
197,,,,,,
198,,,,,,
